Column Name,Group,isPhyto,heterotroph,mixotroph,autotroph
Acanthoica_quattrospina,diatom,1,0,0,1
Alexandrium_catenella,dinoflagellate,1,0,1,0
amoeba,amoeba,0,1,0,0
Amphidinium,dinoflagellate,1,0,1,0
Amylax,dinoflagellate,1,0,1,0
Apedinella,chrysophyte,1,0,1,0
Asterionellopsis_glacialis,diatom,1,0,0,1
Bacillaria,diatom,1,0,0,1
Bacillariophyceae,diatom,1,0,0,1
Balanion,ciliate,0,1,0,0
bead,bead,0,0,0,0
Biddulphia,diatom,1,0,0,1
bubble,bubble,0,0,0,0
Calciopappus,coccolithophore,1,0,0,1
Calciosolenia_brasiliensis,coccolithophore,1,0,0,1
camera_spot,bad,0,0,0,0
Cerataulina_pelagica,diatom,1,0,0,1
Ceratium,dinoflagellate,1,0,1,0
Ceratium_furca,dinoflagellate,1,0,1,0
Ceratium_fusus,dinoflagellate,1,0,1,0
Ceratium_lineatum,dinoflagellate,1,0,1,0
Chaetoceros,diatom,1,0,0,1
Chaetoceros_curvusetus,diatom,1,0,0,1
Chaetoceros_danicus,diatom,1,0,0,1
Chaetoceros_didymus,diatom,1,0,0,1
Chaetoceros_didymus_TAG_external_flagellate,diatom,1,0,0,1
Chaetoceros_similis,diatom,1,0,0,1
Chaetoceros_subtilis,diatom,1,0,0,1
Chaetoceros_TAG_external_pennate,diatom,1,0,0,1
Chaetoceros_throndsenii,diatom,1,0,0,1
Chroomonas,cryptophyte,1,0,1,0
Chrysochromulina,prymnesiophyte,1,0,1,0
Chrysochromulina_lanceolata,prymnesiophyte,1,0,1,0
ciliate,ciliate,0,1,0,0
coccolithophorid,coccolithophore,1,0,0,1
Corethron_hystrix,diatom,1,0,0,1
Corymbellus,prymnesiophyte,1,0,1,0
Coscinodiscus,diatom,1,0,0,1
cryptophyta,cryptophyte,1,0,1,0
Cylindrotheca,diatom,1,0,0,1
Dactyliosolen_blavyanus,diatom,1,0,0,1
Dactyliosolen_fragilissimus,diatom,1,0,0,1
Delphineis,diatom,1,0,0,1
detritus,detritus,0,0,0,0
detritus_clear,detritus,0,0,0,0
Dictyocha,diatom,1,0,0,1
Dictyocysta,diatom,1,0,0,1
Didinium,ciliate,0,1,0,0
Dinobryon,chrysophyte,1,0,1,0
Dinophyceae,dinoflagellate,1,0,1,0
Dinophysis,dinoflagellate,1,0,1,0
Dinophysis_acuminata,dinoflagellate,1,0,1,0
Dinophysis_norvegica,dinoflagellate,1,0,1,0
Ditylum_brightwellii,diatom,1,0,0,1
Emiliania_huxleyi,coccolithophore,1,0,0,1
Ephemera,diatom,1,0,0,1
Eucampia,diatom,1,0,0,1
Euglena,eugenoid,1,0,1,0
Euplotes,ciliate,0,1,0,0
Euplotes_morphotype1,ciliate,0,1,0,0
Eutintinnus,tintinnid,0,1,0,0
Favella,tintinnid,0,1,0,0
fecal_pellet,fecal,0,0,0,0
fiber,fiber,0,0,0,0
fiber_TAG_external_detritus,fiber,0,0,0,0
flagellate,flagellate,1,0,1,0
flagellate_morphotype1,flagellate,1,0,1,0
flagellate_morphotype3,flagellate,1,0,1,0
foraminifera,foramininfera,1,1,0,0
Gonyaulax,dinoflagellate,1,0,1,0
Guinardia_delicatula,diatom,1,0,0,1
Guinardia_delicatula_TAG_external_parasite,diatom,1,0,0,1
Guinardia_delicatula_TAG_internal_parasite,diatom,1,0,0,1
Guinardia_flaccida,diatom,1,0,0,1
Guinardia_striata,diatom,1,0,0,1
Gyrodinium,dinoflagellate,1,0,1,0
Hemiaulus,diatom,1,0,0,1
Heterocapsa_rotundata,dinoflagellate,1,0,1,0
Heterocapsa_triquetra,dinoflagellate,1,0,1,0
Karenia,dinoflagellate,1,0,1,0
Katodinium_or_Torodinium,dinoflagellate,1,0,1,0
Laboea_strobila,ciliate,0,1,0,0
Lauderia_annulata,diatom,1,0,0,1
Leegaardiella_ovalis,ciliate,0,1,0,0
Leptocylindrus,diatom,1,0,0,1
Leptocylindrus_mediterraneus,diatom,1,0,0,1
Licmophora,diatom,1,0,0,1
Margalefidinium,dinoflagellate,1,0,1,0
Mesodinium,ciliate,0,1,0,0
mix,mix,1,0,1,0
Nanoneis,diatom,1,0,0,1
Odontella,diatom,1,0,0,1
Ophiaster,diatom,1,0,0,1
Oxytoxum,dinoflagellate,1,0,1,0
Paralia_sulcata,diatom,1,0,0,1
Parvicorbicula_socialis,choanoflagellate,0,1,0,0
pennate,diatom,1,0,0,1
pennate_morphotype1,diatom,1,0,0,1
Phaeocystis,prymnesiophyte,1,0,0,1
Pleuronema,diatom,1,0,0,1
Pleurosigma,diatom,1,0,0,1
pollen,pollen,0,0,0,0
Polykrikos,dinoflagellate,1,0,1,0
Prorocentrum,dinoflagellate,1,0,1,0
Prorocentrum_micans,dinoflagellate,1,0,1,0
Prorocentrum_triestinum,dinoflagellate,1,0,1,0
Proterythropsis,dinoflagellate,1,0,1,0
Protoperidinium,dinoflagellate,1,0,1,0
Pseudo-nitzschia,diatom,1,0,0,1
Pseudochattonella_farcimen,diatom,1,0,0,1
Pyramimonas,prymnesiophyte,1,0,1,0
Pyramimonas_longicauda,prymnesiophyte,1,0,1,0
Pyramimonas_morphotype1,prymnesiophyte,1,0,1,0
Radiozoa,radiolaria,0,1,0,0
Rhizosolenia,diatom,1,0,0,1
Scrippsiella,dinoflagellate,1,0,1,0
Skeletonema,diatom,1,0,0,1
square_unknown,unknown,0,0,0,0
Stenosemella_morphotype1,diatom,1,0,0,1
Stenosemella_pacifica,diatom,1,0,0,1
Stephanopyxis,diatom,1,0,0,1
Strobilidium,ciliate,0,1,0,0
Strobilidium_morphotype1,ciliate,0,1,0,0
Strombidium_capitatum,ciliate,0,1,0,0
Strombidium_conicum,ciliate,0,1,0,0
Strombidium_inclinatum,ciliate,0,1,0,0
Strombidium_morphotype1,ciliate,0,1,0,0
Strombidium_morphotype2,ciliate,0,1,0,0
Strombidium_oculatum,ciliate,0,1,0,0
Strombidium_wulffi,ciliate,0,1,0,0
Syracosphaera_pulchra,coccolithophore,1,0,0,1
Thalassionema,diatom,1,0,0,1
Thalassiosira,diatom,1,0,0,1
Thalassiosira_TAG_external_detritus,diatom,1,0,0,1
Tiarina_fusus,ciliate,0,1,0,0
Tintinnida,tintinnid,0,1,0,0
Tintinnidium_mucicola,tintinnid,0,1,0,0
Tintinnopsis,tintinnid,0,1,0,0
Tontonia_appendiculariformis,ciliate,0,1,0,0
Tontonia_gracillima,ciliate,0,1,0,0
unknown1,unknown,0,0,0,0
unknown2,unknown,0,0,0,0
Vicicitus_globosus,raphidophyte,1,0,1,0
Warnowia,dinoflagellate,1,0,1,0
zooplankton,zooplankton,0,1,0,0
